GEOID,Pct_NonWhite,Pct_PublicTrans,Pct_RentBurden,Pct_BelowPov
6037101110,47,2.61,52.5,11.7
6037101122,27.7,0.60,69.77,6.4
6037101220,55.8,6.72,43.23,17.8
6037101221,56.1,1.83,68.72,14.3
6037101222,54,5.22,55.33,13.9
6037101300,28,1.27,37.34,7.8
6037101400,37,0.06,79.51,6.9
6037102103,20.9,0.89,89.97,9
6037102104,30.4,2.26,32.56,5
6037102105,82,0.00,46.01,9.4
6037102107,29,0.00,51.38,13.9
6037103101,35.1,0.00,51.91,4.1
6037103102,34.9,0.55,87.98,11
6037103201,48.7,1.90,60.58,10.3
6037103202,47,1.92,0,2.5
6037103300,27.4,0.00,83.72,8.5
6037103401,33.4,0.50,57.99,5.4
6037103402,40.9,2.41,27.77,8.6
6037104103,93.7,0.44,71.33,11.9
6037104105,96.3,4.27,72.25,22
6037104108,98.8,2.61,52.86,13.8
6037104124,65.3,3.59,64.68,8.9
6037104201,99.5,2.90,70.1,10.9
6037104203,99.3,3.66,75.24,21.9
6037104204,88.7,0.89,52.23,14.2
6037104310,98.7,1.96,51.91,12.3
6037104321,99.6,3.70,62.62,15.7
6037104322,95.6,4.44,87.33,7.8
6037104401,97.1,1.40,58.42,21.8
6037104403,98.5,0.00,75.31,22.7
6037104404,98.6,5.67,57.21,14.2
6037104500,98.3,7.44,77.38,33.8
6037104610,97.9,1.93,72.56,8.7
6037104620,95.5,3.43,65.96,19.6
6037104701,99.7,5.49,51.86,30.3
6037104703,91.2,0.00,49.06,17.7
6037104704,92.5,2.58,64.12,23.7
6037104821,95.7,3.00,44.59,16.4
6037104822,98.5,9.20,64.52,27.4
6037104823,98.6,5.19,89.92,22.1
6037104824,99.6,2.05,68.42,10.5
6037106010,81.6,0.30,69.27,5.2
6037106020,92.2,0.86,64.9,17.4
6037106111,74.1,0.32,0,4.9
6037106112,83.1,0.04,38.31,14.4
6037106113,88,0.00,72.64,3.4
6037106114,96.3,1.62,60.77,25
6037106403,91.6,1.26,60.2,8.8
6037106405,89,0.36,38.76,17.4
6037106406,80.3,0.65,54.63,3.7
6037106407,91.4,4.85,76.44,34.8
6037106408,96,3.44,60.12,29.6
6037106510,87.1,3.01,81.36,15.5
6037106520,95.5,1.88,61.85,13
6037106603,54.1,2.27,64.44,5.7
6037106604,95,6.30,61.29,12.4
6037106641,35.5,0.64,60.98,6.6
6037106642,34,1.30,84.07,8.1
6037106643,48.5,2.75,16.95,2.8
6037106645,44.1,2.04,85.71,5.2
6037106646,59.9,1.14,70.55,5.7
6037106648,93,0.48,62.72,13.5
6037106649,90,1.46,83.33,4.9
6037107010,94.5,1.14,57.94,4.4
6037107020,93.6,1.44,68.8,18.4
6037108101,47.4,0.22,10.61,3.5
6037108102,50.1,0.00,54.07,11.8
6037108103,43.2,1.77,93.07,6.3
6037108104,42.3,0.00,61.9,2.9
6037108202,69.1,0.00,74.39,3.3
6037108203,62,0.00,62,5.3
6037108204,63.9,0.00,43.48,2.8
6037109100,67.3,4.33,59.34,8.8
6037109200,63.3,1.10,21.85,5.5
6037109300,71.7,0.85,60.36,5.3
6037109400,87,2.54,72.91,5.4
6037109500,93.1,6.12,55.81,17.2
6037109601,76.8,1.02,59.9,7.6
6037109603,90,2.17,58.67,11.8
6037109604,86.1,3.74,56.21,10.8
6037109700,66.1,3.81,60.86,5.4
6037109800,64.6,2.45,68.07,10.1
6037111100,71.3,0.54,44.48,7.3
6037111201,71.3,1.40,37.5,8.2
6037111202,62.5,5.15,48.65,9
6037111204,56.5,0.00,22.51,2.1
6037111205,63.6,0.84,49.33,9.8
6037111206,50.4,0.00,67.65,6.2
6037111302,57.3,0.94,60.92,9
6037111303,49.5,0.00,73.51,5.5
6037111304,88.6,1.11,61.34,25.7
6037111401,61.9,0.82,62.36,3.9
6037111402,55.2,3.65,59.15,14.7
6037113101,38.6,0.69,60.77,11.9
6037113102,55.8,0.00,61.29,3.5
6037113211,53.2,0.40,44.58,7.4
6037113212,64.1,0.00,68.08,3.6
6037113213,63.6,0.17,45.08,5.5
6037113231,38.2,0.78,89.62,4.7
6037113232,47.7,1.40,53.85,8.4
6037113234,80.7,2.60,44.46,17.6
6037113235,50.5,0.00,68.72,13.1
6037113237,59.6,0.35,36.18,5.4
6037113238,83.7,5.50,65.11,11.3
6037113239,77.3,8.04,73.53,10
6037113301,48,4.20,62.26,11.4
6037113303,71.4,2.81,39.2,7.4
6037113322,52.4,0.00,53.63,12.4
6037113323,72,0.00,51.89,9.8
6037113324,77.3,1.16,30.95,5.5
6037113423,72.4,6.96,68.35,9.4
6037113424,70,0.97,78.43,7.4
6037113425,86.6,7.70,68.71,9.1
6037113426,70.9,1.34,62.09,16.7
6037113427,81.5,10.47,64.02,16.1
6037113428,50.9,0.57,80.81,9
6037115101,43.4,1.09,47.86,8.7
6037115103,64.3,0.64,35.71,37.5
6037115104,68.8,5.01,60.03,21.8
6037115202,73.2,3.52,75.45,24.7
6037115203,65.4,1.31,55.38,20
6037115204,64.5,2.30,52.39,10.7
6037115301,61.6,0.48,55.06,8.8
6037115302,88,7.27,70.87,18.1
6037115401,68,1.04,78.47,16.7
6037115403,78.8,2.93,49.18,27.9
6037115404,81.2,7.58,62.96,9.7
6037117101,81.9,7.03,68.02,11.5
6037117102,76.3,4.59,82.88,9.7
6037117201,85.4,12.76,73.15,25
6037117202,74.4,0.00,61.9,10.5
6037117301,69.9,0.00,43.88,5.5
6037117302,62.2,2.45,65.57,7
6037117303,71.6,0.00,69.29,7.2
6037117404,71.1,5.29,66.11,10.6
6037117405,94.5,10.60,63.83,28
6037117407,98.1,5.99,59.16,29.7
6037117408,92.4,9.04,60.87,37.5
6037117510,91.4,18.12,67.62,24.2
6037117520,93.7,6.84,70.09,40.7
6037117530,90.5,6.39,55.38,29.8
6037119001,91.1,0.86,47.06,9.2
6037119003,95.9,5.13,66.9,18.1
6037119004,90.4,0.00,62.12,9.5
6037119201,93.7,1.14,36.54,9.1
6037119202,97.5,1.81,44.62,17.2
6037119310,76.5,6.42,63.77,9.9
6037119320,90.3,7.19,51.62,16.4
6037119340,96.6,13.14,66.9,33.3
6037119341,94.7,5.29,64.26,16.3
6037119342,93.6,11.55,67.99,11.4
6037119400,91.8,1.41,60.11,9.8
6037119700,77.2,0.00,36.08,3.6
